Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core,Year
Universidad Tecnológica Nacional,www.utn.edu.ar,78,1218,2138,1037,1914,2012
Universidad Nacional de Rosario,www.unr.edu.ar,79,1231,2388,1070,1197,2012
Universidad Industrial de Santander,www.uis.edu.co,80,1231,1863,1152,1809,2012
Universidad Veracruzana,www.uv.mx,81,1241,2607,547,2156,2012
Universidad de Puerto Rico Río Piedras,www.uprrp.edu,82,1267,573,1578,5230,2012
(1) Pontificia Universidad Católica de Valparaíso,www.ucv.cl,83,1280,1313,2004,1733,2012
Pontificia Universidade Católica do Paraná PUCPR,www.pucpr.br,84,1286,3245,427,1648,2012
Pontificia Universidade Católica do Minas Gerais PUC-MINAS,www.pucminas.br,85,1307,3186,315,1987,2012
Universidad Nacional de Salta,www.unsa.edu.ar,86,1321,943,2146,2322,2012
Universidade Federal do Rio Grande FURG,www.furg.br,87,1324,2096,995,1809,2012
Universidad de la Habana,www.uh.cu,88,1331,3630,979,1532,2012
Universidad Nacional Costa Rica,www.una.ac.cr,89,1331,3564,1490,2002,2012
Universidade Federal de Campina Grande,www.ufcg.edu.br,90,1339,3462,547,1532,2012
Universidad Nacional de San Martín Argentina,www.unsam.edu.ar,91,1349,2602,662,1566,2012
Universidade Federal de Ouro Preto UFOP,www.ufop.br,92,1409,3494,559,1844,2012
Universidade Federal de Lavras UFLA,www.ufla.br,93,1419,3202,660,1612,2012
Universidad Distrital Francisco José de Caldas,www.udistrital.edu.co,94,1429,1433,1430,3320,2012
Universidad Centroccidental Lisandro Alvarado,www.ucla.edu.ve,95,1468,5845,665,2521,2012
Universidad de Caldas,www.ucaldas.edu.co,96,1469,4782,912,2420,2012
Universidad del Bío-Bío,www.ubiobio.cl,97,1474,1325,1727,2543,2012
Universidad Nacional del Centro de la Provincia de Buenos Aires,www.unicen.edu.ar,98,1474,2322,1466,1714,2012
Universidade Católica de Brasilia,www.ucb.br,99,1484,2045,1269,1874,2012
Universidade Federal de Mato Grosso do Sul,www.ufms.br,100,1485,3445,612,1928,2012
(2) Universidade de São Paulo USP,www.usp.br,1,31,25,29,77,2013
(2) Universidad Nacional Autónoma de México,www.unam.mx,2,70,47,84,300,2013
Universidade Estadual de Campinas UNICAMP,www.unicamp.br,3,274,314,94,323,2013
Universidad de Buenos Aires,www.uba.ar,4,283,318,251,361,2013
Universidade Federal de Minas Gerais UFMG,www.ufmg.br,5,286,271,281,440,2013
Universidade Federal do Rio de Janeiro,www.ufrj.br,6,289,344,233,377,2013
Universidade Federal do Rio Grande do Sul UFRGS,www.ufrgs.br,7,291,363,52,419,2013
Universidad de Chile,www.uchile.cl,8,297,293,316,460,2013
Universidade de Brasília UNB,www.unb.br,9,357,221,350,832,2013
Universidad de Puerto Rico Mayaguez,www.uprm.edu,10,361,161,839,1032,2013
Universidade Federal de Santa Catarina UFSC,ufsc.br,11,371,311,157,699,2013
Universidade Estadual Paulista Júlio de Mesquita Filho,www.unesp.br,12,412,639,135,392,2013
Universidade Federal Fluminense,www.uff.br,13,417,235,322,974,2013
Universidad Nacional de Córdoba,www.unc.edu.ar,14,431,252,643,950,2013
Universidade Federal do Paraná,www.ufpr.br,15,447,354,204,857,2013
Universidad Nacional de Colombia,www.unal.edu.co,16,479,358,220,968,2013
Universidade Federal da Bahia,www.ufba.br,17,485,339,547,948,2013
Universidade Federal do Ceará,www.ufc.br,18,523,428,732,887,2013
Centro de Investigación y de Estudios Avanzados del IPN CINVESTAV,www.cinvestav.mx,19,591,787,1208,568,2013
Universidad Autónoma Metropolitana,www.uam.mx,20,592,514,467,1042,2013
Universidad de Costa Rica,www.ucr.ac.cr,21,646,486,487,1323,2013
Universidad Nacional de La Plata,www.unlp.edu.ar,22,682,1043,346,694,2013
Universidade Federal de São Paulo UNIFESP,www.unifesp.br,23,722,1133,2060,529,2013
Pontificia Universidad Católica de Chile,www.uc.cl,24,739,1220,1443,514,2013
Universidad de los Andes Colombia,www.uniandes.edu.co,25,752,894,952,878,2013
Universidade do Estado do Rio de Janeiro UERJ,www.uerj.br,26,804,1205,657,750,2013
Universidad de Concepción,www.udec.cl,27,808,1067,1376,861,2013
Universidade Federal de Pernambuco,www.ufpe.br,28,829,1172,530,858,2013
Universidade Federal do Pará UFPA,www.portal.ufpa.br,29,854,762,599,1461,2013
Universidad de Guadalajara,www.udg.mx,30,861,729,294,1654,2013
Universidade Federal de Mato Grosso do Sul,www.ufms.br,31,873,541,1471,1922,2013
Universidade Federal de Uberlândia,www.ufu.br,32,878,970,485,1310,2013
Pontificia Universidad Católica del Perú,www.pucp.edu.pe,33,891,585,984,2040,2013
Pontificia Universidade Católica do Rio de Janeiro PUC-RIO,www.puc-rio.br,34,897,1086,479,1205,2013
Universidad de Puerto Rico,www.upr.edu,35,906,1846,462,583,2013
Universidade do Estado de Santa Catarina UDESC,www.udesc.br,36,932,518,574,2253,2013
Universidad de Antioquia,www.udea.edu.co,37,945,1238,606,1138,2013
(1) Tecnológico de Monterrey,www.itesm.mx,38,950,950,579,1570,2013
Instituto Politécnico Nacional,www.ipn.mx,39,974,1548,410,931,2013
Pontificia Universidade Católica do Rio Grande do Sul PUCRS,www.pucrs.br,40,985,1292,974,1149,2013
