Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core,Year
Université Mohamed Khider Biskra,www.univ-biskra.dz,84,4833,9434,3470,3086,2012
Université Mohammed V Souissi,www.um5s.ac.ma,85,4884,7386,6754,3656,2012
South Valley University,www.svu.edu.eg,86,4892,9002,5046,2057,2012
Université des Sciences et de la Technologie d'Oran Mohamed Boudiaf,www.univ-usto.dz,87,4924,9883,3896,2171,2012
University of Jos,www.unijos.edu.ng,88,5040,10624,3059,3520,2012
University of Fort Hare,www.ufh.ac.za,89,5079,8925,7601,1928,2012
University of Cape Coast,www.ucc.edu.gh,90,5099,7052,5861,3404,2012
Presbyterian University College,www.presbyuniversity.edu.gh,91,5123,2721,9809,5230,2012
Université d'Abomey-Calavi,www.uac.bj,92,5264,13304,5861,2245,2012
Université Mohammed V Agdal,www.um5a.ac.ma,93,5477,10697,9809,1889,2012
Covenant University Ota,www.covenantuniversity.edu.ng,94,5489,12033,1810,4606,2012
Groupe EIER-ETSHER,www.2ie-edu.org,95,5532,6876,6457,5230,2012
Université M'Hamed Bougara de Boumerdes,www.umbb.dz,96,5613,10781,3932,2923,2012
Al Azhar Al-Sharif Islamic Research Academy,www.alazhar.gov.eg,97,5662,3119,9809,5230,2012
Université de Bejaia,www.univ-bejaia.dz,98,5698,7725,8345,2363,2012
(1) Copperbelt University,www.cbu.edu.zm,99,5712,5660,8345,4606,2012
Université Virtuelle de Tunis,www.uvt.rnu.tn,100,5748,8954,5408,5230,2012
University of Kwazulu Natal,www.ukzn.ac.za,1,381,368,817,549,2013
University of Cape Town,www.uct.ac.za,2,390,692,751,266,2013
Stellenbosch University,www.sun.ac.za,3,462,638,642,448,2013
Makerere University,mak.ac.ug,4,696,832,786,854,2013
University of the Witwatersrand,www.wits.ac.za,5,719,1360,315,422,2013
University of Pretoria,web.up.ac.za,6,746,1237,341,607,2013
University of the Western Cape,www.uwc.ac.za,7,834,770,2371,1247,2013
Obafemi Awolowo University,www.oauife.edu.ng,8,1113,717,10083,2156,2013
Rhodes University,www.ru.ac.za,9,1191,1747,1308,1190,2013
Cairo University,cu.edu.eg,10,1206,2480,1976,653,2013
University of Dar Es Salaam,www.udsm.ac.tz,11,1419,1477,7286,1842,2013
University of South Africa,www.unisa.ac.za,12,1545,2019,780,1854,2013
American University in Cairo,www.aucegypt.edu,13,1574,1828,1658,1999,2013
University of Nairobi,www.uonbi.ac.ke,14,1624,2883,1119,1323,2013
Mansoura University,www.mans.edu.eg,15,1699,3627,2057,961,2013
University of Johannesburg,www.uj.ac.za,16,1749,3374,930,1209,2013
(1) Ain Shams University,www.shams.edu.eg,17,1887,4383,3429,907,2013
University of Ghana,www.ug.edu.gh,18,1917,3359,6019,1438,2013
Assiut University,www.aun.edu.eg,19,1924,3711,686,1369,2013
Université d'Antananarivo,www.univ-antananarivo.mg,20,1964,1953,13407,2392,2013
Maseno University,maseno.ac.ke,21,2053,1361,8090,3510,2013
North West University,www.nwu.ac.za,22,2094,4623,993,1228,2013
Auchi Polytechnic,www.auchipoly.edu.ng,23,2106,561,13657,5080,2013
University of Ibadan,www.ui.edu.ng,24,2109,4083,4932,1317,2013
University of Lagos,www.unilag.edu.ng,25,2149,2922,9204,2040,2013
Nelson Mandela Metropolitan University,www.nmmu.ac.za,26,2232,4179,3132,1587,2013
University of the Free State,www.ufs.ac.za,27,2372,5227,2197,1268,2013
University of Khartoum,www.uofk.edu,28,2496,4711,388,1854,2013
Al Azhar University,www.azhar.edu.eg,29,2523,4964,8325,1431,2013
Addis Ababa University,www.aau.edu.et,30,2600,5848,3181,1353,2013
University of Nigeria,unn.edu.ng,31,2640,3796,7771,2253,2013
Université Cheikh Anta Diop de Dakar,www.ucad.sn,32,2693,5094,4646,1719,2013
University of Zimbabwe,www.uz.ac.zw,33,2761,5436,6745,1625,2013
Kwame Nkrumah University of Science & Technology,www.knust.edu.gh,34,2800,5212,3665,1884,2013
Misurata University (Misrata University),www.misuratau.edu.ly,35,2825,1243,16218,5080,2013
Alexandria University,www.alexu.edu.eg,36,2896,7767,2274,998,2013
Zagazig University,www.zu.edu.eg,37,2947,6585,2072,1470,2013
Université des Sciences et de la Technologie Houari Boumediene,www.usthb.dz,38,2971,6274,4810,1556,2013
Jimma University,www.ju.edu.et,39,2977,4328,10137,2423,2013
El Asher University,www.eau.edu.eg,40,3024,1408,17513,5080,2013
University of Tanta,www.tanta.edu.eg,41,3093,6678,2119,1598,2013
Universidade Eduardo Mondlane,www.uem.mz,42,3112,5346,3810,2231,2013
University of Botswana,www.ub.bw,43,3127,5939,4413,1973,2013
Cape Peninsula University of Technology,www.cput.ac.za,44,3152,5561,1562,2200,2013
University of Agriculture Abeokuta,www.unaab.edu.ng,45,3156,4955,1633,2584,2013
Yaba College of Technology,portal.yabatech.edu.ng,46,3166,1706,12842,5080,2013
Tshwane University of Technology,www.tut.ac.za,47,3193,6436,4185,1782,2013
Université Mentouri de Constantine,www.umc.edu.dz,48,3225,6691,1876,1854,2013
Helwan University,www.helwan.edu.eg,49,3313,6533,3363,1884,2013
École Nationale d'Architecture Rabat,www.archi.ac.ma,50,3439,1851,17628,5080,2013
Université des Sciences et de la Technologie d'Oran Mohamed Boudiaf,www.univ-usto.dz,51,3453,5795,6404,2274,2013
(1) Université Badji Mokhtar de Annaba,www.univ-annaba.org,52,3475,6561,10367,1922,2013
Kenyatta University,www.ku.ac.ke,53,3489,6339,2536,2369,2013
University of Namibia,www.unam.na,54,3514,6129,1725,2392,2013
University of Zambia,www.unza.zm,55,3527,7283,14555,1646,2013
Université de Bejaia,www.univ-bejaia.dz,56,3545,5843,9241,2369,2013
Minia University,www.minia.edu.eg,57,3574,7553,2313,1826,2013
Libyan International Medical University ,limu.edu.ly,58,3640,2263,11187,5080,2013
University of Mauritius,www.uom.ac.mu,59,3714,6137,2438,2540,2013
Suez Canal University,www.scuegypt.edu.eg,60,3770,9492,3006,1260,2013
Polytechnic of Namibia,www.polytechnic.edu.na,61,3817,4185,1523,4086,2013
Université Mohammed V Agdal,www.um5a.ac.ma,62,3851,8071,7559,1806,2013
Université Abou Bekr Belkaid Tlemcen,www.univ-tlemcen.dz,63,3865,6286,2983,2702,2013
University of Malawi,www.unima.mw,64,3887,8785,13254,1408,2013
Université Djillali Liabes,www.univ-sba.dz,65,3942,8135,5319,1795,2013
University of Fort Hare,www.ufh.ac.za,66,3954,8103,7018,1842,2013
Université Virtuelle de Tunis,www.uvt.rnu.tn,67,3954,2929,2987,5080,2013
Institut Supérieur d'Eléctronique et des Réseaux de Télécommunication ISERT,www.isert.co.ma,68,4061,2518,19506,5080,2013
(1) University of Benin,www.uniben.edu,69,4071,6492,6582,2661,2013
Benha University,www.bu.edu.eg,70,4117,7302,434,2661,2013
South Valley University,www.svu.edu.eg,71,4255,8434,3554,2016,2013
Université de Batna,www.univ-batna.dz,72,4302,7324,2394,2620,2013
Université Abdelmalek Essaadi,www.uae.ma,73,4341,7253,8304,2507,2013
Ahmadu Bello University,www.abu.edu.ng,74,4394,8235,3544,2274,2013
Université Mohammed Premier Oujda,webserver1.ump.ma,75,4413,9088,4512,1910,2013
Minufiya University,www.menofia.edu.eg,76,4458,7714,4939,2469,2013
National University of Rwanda,www.nur.ac.rw,77,4470,6708,4408,3103,2013
Al Akhawayn University Ifrane,www.aui.ma,78,4480,4984,3633,4086,2013
Gulu University,www.gu.ac.ug,79,4508,4283,17769,4086,2013
Université Abdelhamid Ibn Badis Mostaganem,www.univ-mosta.dz,80,4520,7250,4262,2810,2013
University of Ilorin,www.unilorin.edu.ng,81,4534,6478,2593,3186,2013
Université Hassan II Ain Chock,www.uh2c.ac.ma,82,4538,8844,8859,2091,2013
Fayoum University,www.fayoum.edu.eg,83,4615,9128,1757,2105,2013
Université d'Abomey-Calavi,www.uac.bj,84,4634,8188,10157,2392,2013
Hubert Kairuki Memorial University,www.hkmu.ac.tz,85,4769,4262,14085,4440,2013
Durban University of Technology,www.dut.ac.za,86,4789,7289,4947,3103,2013
Moi University,www.mu.ac.ke,87,4803,8514,11062,2274,2013
Sokoine University of Agriculture,www.suanet.ac.tz,88,4852,8962,7584,2156,2013
Université de Tunis El Manar,www.utm.rnu.tn,89,4872,10803,7979,1431,2013
German University in Cairo,www.guc.edu.eg,90,4897,7244,4783,3037,2013
Université de Sfax,www.uss.rnu.tn,91,5042,10823,15034,1388,2013
Université d'Oran,www.univ-oran.dz,92,5080,8699,7516,2369,2013
University of Limpopo,www.ul.ac.za,93,5090,9018,5639,2274,2013
Egerton University,www.egerton.ac.ke,94,5143,8274,1807,2810,2013
(1) Muhimbili University of Health and Allied Sciences,www.muchs.ac.tz,95,5153,10579,13779,1570,2013
Jomo Kenyatta University of Agriculture and Technology,www.jkuat.ac.ke,96,5166,7821,6160,2982,2013
Université de Yaounde I,www.uy1.uninet.cm,97,5263,11160,11752,1466,2013
Kafrelsheikh University,www.kfs.edu.eg,98,5269,10389,3243,1973,2013
Université Saad Dahlab Blida,www.univ-blida.dz,99,5325,9470,8793,2200,2013
Université Ferhat Abbas Setif,www.univ-setif.dz,100,5360,9636,5081,2274,2013
University of Cape Town,www.uct.ac.za,1,350,521,540,267,2014
Cairo University,cu.edu.eg,2,358,142,1361,633,2014
Stellenbosch University,www.sun.ac.za,3,439,994,199,454,2014
University of Pretoria,web.up.ac.za,4,444,986,117,608,2014
University of the Witwatersrand,www.wits.ac.za,5,580,1230,359,414,2014
University of Kwazulu Natal,www.ukzn.ac.za,6,752,1221,1320,559,2014
University of the Western Cape,www.uwc.ac.za,7,789,935,932,1239,2014
American University in Cairo,www.aucegypt.edu,8,904,544,1138,2214,2014
University of Nairobi,www.uonbi.ac.ke,9,907,2225,44,1403,2014
Mansoura University,www.mans.edu.eg,10,911,853,2944,1047,2014
Rhodes University,www.ru.ac.za,11,968,1601,896,1316,2014
University of South Africa,www.unisa.ac.za,12,1058,2028,371,1925,2014
Makerere University,mak.ac.ug,13,1134,2990,719,880,2014
University of Johannesburg,www.uj.ac.za,14,1204,2949,462,1004,2014
Alexandria University,www.alexu.edu.eg,15,1223,2072,2502,996,2014
North West University,www.nwu.ac.za,16,1430,4274,433,1232,2014
Benha University,www.bu.edu.eg,17,1493,2004,1426,2259,2014
Addis Ababa University,www.aau.edu.et,18,1599,5487,746,1447,2014
Obafemi Awolowo University,www.oauife.edu.ng,19,1655,1644,3988,2340,2014
Zagazig University,www.zu.edu.eg,20,1729,3826,1881,1377,2014
University of Ghana,www.ug.edu.gh,21,1826,3944,1690,1455,2014
Kenyatta University,www.ku.ac.ke,22,1983,5874,299,2484,2014
University of the Free State,www.ufs.ac.za,23,1987,4507,2856,1342,2014
University of Khartoum,www.uofk.edu,24,2070,5341,3012,2101,2014
Covenant University Ota,www.covenantuniversity.edu.ng,25,2075,3096,955,2993,2014
Nelson Mandela Metropolitan University,www.nmmu.ac.za,26,2140,3717,3022,1766,2014
Assiut University,www.aun.edu.eg,27,2195,5911,2068,1283,2014
Université Constantine 1 (Ex Université Mentouri),www.umc.edu.dz,28,2256,6248,1014,2101,2014
Cape Peninsula University of Technology,www.cput.ac.za,29,2297,5049,1362,2340,2014
Université Kasdi Merbah Ouargla,www.univ-ouargla.dz,30,2306,3453,685,3842,2014
University of Dar Es Salaam,www.udsm.ac.tz,31,2319,3429,4407,2101,2014
University of Zambia,www.unza.zm,32,2320,6831,796,1756,2014
Université Abou Bekr Belkaid Tlemcen,www.univ-tlemcen.dz,33,2325,6102,718,2484,2014
University of Namibia,www.unam.na,34,2352,5356,1728,2638,2014
University of Ibadan,www.ui.edu.ng,35,2355,3698,3731,1491,2014
University of Lagos,www.unilag.edu.ng,36,2367,4102,2962,2259,2014
Université Cheikh Anta Diop de Dakar,www.ucad.sn,37,2419,4331,3201,1829,2014
Université Djillali Liabes,www.univ-sba.dz,38,2511,2767,4195,1857,2014
University of Zimbabwe,www.uz.ac.zw,39,2562,5473,2358,1846,2014
Minia University,www.minia.edu.eg,40,2575,8012,1738,1718,2014
Universidade Eduardo Mondlane,www.uem.mz,41,2667,3000,5019,2572,2014
University of Ilorin,www.unilorin.edu.ng,42,2723,6939,923,2594,2014
Kwame Nkrumah University of Science & Technology,www.knust.edu.gh,43,2726,3635,7929,1951,2014
University of Botswana,www.ub.bw,44,2738,5422,2870,2259,2014
Jomo Kenyatta University of Agriculture and Technology,www.jkuat.ac.ke,45,2826,6794,1356,2572,2014
Université des Sciences et de la Technologie Houari Boumediene,www.usthb.dz,46,2828,6013,3138,1593,2014
Durban University of Technology,www.dut.ac.za,47,2930,6161,1969,3711,2014
University of Tanta,www.tanta.edu.eg,48,2996,6840,5093,1530,2014
Egerton University,www.egerton.ac.ke,49,3039,4197,2770,3287,2014
Suez Canal University,www.scuegypt.edu.eg,50,3050,9279,3456,1246,2014
University of Mauritius,www.uom.ac.mu,51,3106,5764,3190,2501,2014
Helwan University,www.helwan.edu.eg,52,3150,6067,4891,1980,2014
Arab Academy for Science & Technology and Maritime Transport,www.aast.edu,53,3173,4952,6259,2993,2014
Sudan University of Science & Technology,www.sustech.edu,54,3176,7751,747,3611,2014
Université Mohammed V Agdal,www.um5a.ac.ma,55,3176,7831,4367,1392,2014
Université d'Abomey-Calavi,www.uac.bj,56,3194,4354,7172,3287,2014
Université Mohammed V Souissi,www.um5s.ac.ma,57,3253,7618,1902,2594,2014
Minufiya University,www.menofia.edu.eg,58,3292,7887,6146,1584,2014
Université Cadi Ayyad Marrakech,www.uca.ma,59,3302,10988,2180,1251,2014
Ahmadu Bello University,www.abu.edu.ng,60,3359,8121,2769,2466,2014
University of Agriculture Abeokuta,www.unaab.edu.ng,61,3368,8493,992,2993,2014
University of Cape Coast,www.ucc.edu.gh,62,3393,6072,1277,3842,2014
Mbarara University of Science & Technology,www.must.ac.ug,63,3404,3334,10089,2048,2014
Fayoum University,www.fayoum.edu.eg,64,3457,9064,3463,1911,2014
Université de Batna,www.univ-batna.dz,65,3473,7536,2986,2638,2014
Polytechnic of Namibia,www.polytechnic.edu.na,66,3476,5392,2873,4442,2014
Ain Shams University,www.asu.edu.eg,67,3533,12443,4844,851,2014
(1) University of Zululand,www.uzulu.ac.za,68,3567,7761,2127,3213,2014
Université Mohamed Khider Biskra,www.univ-biskra.dz,69,3569,9060,1236,3287,2014
Université Hassiba Ben Bouali,www.univ-chlef.dz,70,3623,9032,2945,2802,2014
Jimma University,www.ju.edu.et,71,3631,5626,3929,2384,2014
Landmark University,lmu.edu.ng,72,3685,1645,6454,5442,2014
Université Mouloud Mammeri de Tizi Ouzou,www.ummto.dz,73,3750,8957,2303,2484,2014
Moi University,www.mu.ac.ke,74,3780,8039,3372,2445,2014
Université Virtuelle de Tunis,www.uvt.rnu.tn,75,3783,4535,2386,5442,2014
Kafrelsheikh University,www.kfs.edu.eg,76,3825,10577,3531,1805,2014
Strathmore University Nairobi,www.strathmore.edu,77,3850,3902,5317,5442,2014
Libyan International Medical University ,limu.edu.ly,78,3857,1699,6368,5442,2014
University of Fort Hare,www.ufh.ac.za,79,3920,7050,5947,2169,2014
Federal University of Technology Akure,www.futa.edu.ng,80,3920,10026,1593,2900,2014
Université Setif 1 Ferhat Abbas Setif,www.univ-setif.dz,81,3937,9434,3365,2316,2014
Tshwane University of Technology,www.tut.ac.za,82,3951,5641,10505,1874,2014
German University in Cairo,www.guc.edu.eg,83,3973,6690,4714,2572,2014
University of Nigeria,unn.edu.ng,84,3976,6220,5978,2520,2014
(1) Université Mohammed Premier Oujda,webserver1.ump.ma,85,3980,9429,7495,1325,2014
South Valley University,www.svu.edu.eg,86,3985,8420,6301,2048,2014
Université d'Alger 1,www.univ-alger.dz,87,4036,7172,1403,4175,2014
Université Hassan II Ain Chock,www.uh2c.ac.ma,88,4043,8695,12373,1561,2014
University of Benin,www.uniben.edu,89,4209,6270,5219,3144,2014
Sokoine University of Agriculture,www.suanet.ac.tz,90,4221,8205,5022,2144,2014
Université d'Oran,www.univ-oran.dz,91,4352,8313,3244,2572,2014
Université Abdelhamid Ibn Badis Mostaganem,www.univ-mosta.dz,92,4391,7810,6579,2802,2014
University of Malawi,www.unima.mw,93,4435,8212,8726,1553,2014
Madonna University Nigeria,www.madonnauniversity.edu.ng,94,4460,2013,9621,5442,2014
Université de Bejaia,www.univ-bejaia.dz,95,4491,9133,5579,2316,2014
University of Limpopo,www.ul.ac.za,96,4548,7855,4696,2340,2014
