Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core,Year
Universiti Teknologi Malaysia,www.utm.my,84,528,971,200,1161,2012
Northeastern University China / 东北大学,www.neu.edu.cn,85,528,235,1498,629,2012
Bar Ilan University,www.biu.ac.il,86,538,798,1177,502,2012
King Fahd University of Petroleum & Minerals,www.kfupm.edu.sa,87,544,902,486,911,2012
Ankara University,www.ankara.edu.tr,88,549,1689,69,758,2012
University of Malaya,www.um.edu.my,89,551,1067,336,694,2012
Ege University,www.ege.edu.tr,90,563,794,514,653,2012
(1) Sungkyunkwan University / 성균관대학교,www.skku.ac.kr,91,564,1055,1284,283,2012
Institute of Technology Bandung,www.itb.ac.id,92,569,152,796,1874,2012
Tongji University / 同济大学,www.tongji.edu.cn,93,578,631,2231,382,2012
Chung Yuan Christian University,www.cycu.edu.tw,94,579,809,1416,790,2012
Institut Teknologi Sepuluh Nopember,www.its.ac.id,95,583,750,92,3320,2012
Hanyang University / 한양대학교,www.hanyang.ac.kr,96,583,1779,814,321,2012
Central South University (Zhongnan University) / 中南大学,www.csu.edu.cn,97,586,653,1778,439,2012
Pusan National University (Miryang) / 부산대학교,www.pusan.ac.kr,98,589,775,1447,480,2012
Southern Taiwan University,www.stut.edu.tw,99,590,893,712,1200,2012
East China Normal University / 华东师范大学,www.ecnu.edu.cn,100,598,940,722,623,2012
National University of Singapore,www.nus.edu.sg,1,54,66,176,43,2013
Tsinghua University China / 清华大学,www.tsinghua.edu.cn,2,57,70,441,54,2013
University of Tokyo / 東京大学,www.u-tokyo.ac.jp,3,63,122,44,24,2013
National Taiwan University,www.ntu.edu.tw,4,66,85,30,103,2013
Peking University / 北京大学,www.pku.edu.cn,5,67,78,366,56,2013
Zhejiang University (National Che Kiang University) / 浙江大学,www.zju.edu.cn,6,76,92,111,79,2013
Wuhan University / 武汉大学,www.whu.edu.cn,7,92,64,335,307,2013
Shanghai Jiao Tong University / 上海交通大学,www.sjtu.edu.cn,8,94,118,273,107,2013
Fudan University (Shanghai Medical University) / 复旦大学,www.fudan.edu.cn,9,107,106,842,141,2013
Seoul National University / 서울대학교,www.snu.ac.kr,10,108,196,92,76,2013
University of Hong Kong,www.hku.hk,11,110,157,3,127,2013
Nanjing University / 南京大学,www.nju.edu.cn,12,111,94,875,200,2013
Shandong University / 山东大学,www.sdu.edu.cn,13,113,93,360,262,2013
Kyoto University / 京都大学,www.kyoto-u.ac.jp,14,121,250,110,58,2013
Beijing Normal University / 北京师范大学,www.bnu.edu.cn,15,133,76,820,403,2013
Korea Advanced Institute of Science & Technology KAIST,www.kaist.ac.kr,16,144,164,293,219,2013
Sun Yat Sen University (Zhongshan University) / 中山大学,www.sysu.edu.cn,17,171,171,773,233,2013
Chinese University of Hong Kong,www.cuhk.edu.hk,18,172,223,267,157,2013
National Cheng Kung University,www.ncku.edu.tw,19,183,241,125,204,2013
National Chiao Tung University,www.nctu.edu.tw,20,187,178,355,301,2013
Central South University (Zhongnan University) / 中南大学,www.csu.edu.cn,21,188,125,1735,371,2013
Xiamen University / 厦门大学,www.xmu.edu.cn,22,194,130,559,412,2013
Beihang University (Beijing University of Aeronautics and Astronautics) / 北京航空航天大学,www.buaa.edu.cn,23,197,120,1957,400,2013
Tel Aviv University,www.tau.ac.il,24,197,356,153,128,2013
University of Science & Technology of China / 中国科学技术大学,www.ustc.edu.cn,25,212,274,808,164,2013
Huazhong University of Science & Technology / 华中科技大学,www.hust.edu.cn,26,213,219,1076,249,2013
Chulalongkorn University,www.chula.ac.th,27,217,111,382,595,2013
Hebrew University of Jerusalem,www.huji.ac.il,28,234,385,270,187,2013
Harbin Institute of Technology / 哈尔滨工业大学,www.hit.edu.cn,29,235,302,934,196,2013
Nagoya University / 名古屋大学,www.nagoya-u.ac.jp,30,243,380,268,173,2013
Kyushu University / 九州大学,www.kyushu-u.ac.jp,31,244,329,301,225,2013
Sichuan University / 四川大学,www.scu.edu.cn,32,250,255,1480,287,2013
Lanzhou University / 兰州大学,www.lzu.edu.cn,33,253,201,1173,383,2013
National Central University,www.ncu.edu.tw,34,255,214,398,435,2013
Osaka University / 大阪大学,www.osaka-u.ac.jp,35,259,559,295,91,2013
Tongji University / 同济大学,www.tongji.edu.cn,36,262,243,1230,355,2013
