Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
Ecole Supèrieure en Sciences Biologiques d'Oran,http://www.essb-oran.dz/,1211,23481,25772,5420,6683
Zenith University College,https://zucghana.org/,1212,23482,23289,5963,6683
Université Aube Nouvelle,http://u-auben.com/,1213,23482,23289,5963,6683
Stefano Moshi Memorial University College,http://www.smmuco.ac.tz/,1214,23482,23289,5963,6683
Instituto Superior de Ciências Económicas e Empresariais,http://www.iscee.edu.cv/,1215,23482,23289,5963,6683
(3) Université de Tunis el Manar Institut Supérieur d'Informatique d'El Manar,http://www.isi.rnu.tn/,1216,23482,23289,5963,6683
West End University College,https://weuc.edu.gh/,1217,23482,23289,5963,6683
(3) Université Ezzitouna Centre des Etudes Islamiques de Kairouan,http://www.ceik.rnu.tn/,1218,23482,23289,5963,6683
Université Internationale Abulcasis des Sciences de la Santé,https://www.uiass.ma/,1219,23482,23289,5963,6683
International Leadership University (Nairobi International School of Theology),https://kenya.ilu.edu/,1220,23482,23289,5963,6683
Kings University College,https://www.kuc.edu.gh/,1221,23482,23289,5963,6683
African Institute of Research and Development Studies AIRADS College,https://airads.ac.ke/,1222,23482,23289,5963,6683
Uganda Institute of Banking and Financial Services UIBFS,http://www.uibfs.or.ug/,1223,23570,23384,5963,6683
(3) University of Maiduguri Centre for Distance Learning,http://www.unimaidcdl.edu.ng/,1224,23570,23384,5963,6683
Pentecostal Life University,https://www.plu.mw/,1225,23570,23384,5963,6683
(3) Université de la Manouba Institut Supérieur de Comptabilité et d'Administration des Entreprises,http://www.iscae.rnu.tn/,1226,23570,23384,5963,6683
(3) Université de la Manouba Ecole Supérieure des Sciences et Technologies du Design,http://www.essted.rnu.tn/,1227,23570,23384,5963,6683
Ghana Communication Technology University GCTU,https://site.gctu.edu.gh/,1228,23570,23384,5963,6683
Tamale Technical University,https://www.tatu.edu.gh/,1229,23570,23384,5963,6683
(3) Université de Tunis el Manar Faculté des Sciences Economiques et de Gestion de Tunis,http://www.fsegt.rnu.tn/,1230,23657,23474,5963,6683
United Church of Zambia University UCZU,http://uczuniversity.org/,1231,23657,23474,5963,6683
École d’Ingénierie en Génie des Systèmes Industriels Casablanca,https://www.eigsica.ma/,1232,23657,23474,5963,6683
Ecole Nationale de la Statistique et de l’Analyse Economique,http://www.ensae.sn/,1233,23657,23474,5963,6683
École Normale Supérieure de Constantine,http://www.ensc.dz/,1234,23657,23474,5963,6683
Crown Hill University Ilorin,https://www.crownhilluniversity.edu.ng/,1235,23657,23474,5963,6683
South African Nazarene University,http://www.sanu.ac.sz/,1236,23657,23474,5963,6683
Maryknoll Institute of African Studies Nairobi,https://mias.edu/,1237,23739,23558,5963,6683
Institut Supérieur du Génie Appliqué,https://iga.ac.ma/,1238,23739,23558,5963,6683
Institut International du Numérique et de l'Audiovisuel IINA Tunis,http://www.iina.tn/,1239,23739,23558,5963,6683
(3) Université de Sfax Institut Supérieur de Biotechnologies de Sfax,http://www.isbs.rnu.tn/,1240,23739,23558,5963,6683
(3) Université de Jendouba Faculté des Sciences Juridiques Economiques et de Gestion Jendouba,http://www.fsjegj.rnu.tn/,1241,23739,23558,5963,6683
Garissa University,https://www.gau.ac.ke/,1242,23739,23558,5963,6683
École Polyvalente Supérieure d'Informatique et d'Electronique EPSIEL,http://www.epsiel.net/,1243,23739,23558,5963,6683
Bule Hora University,https://www.bhu.edu.et/,1244,23739,23558,5963,6683
(3) Université de Carthage Ecole Supérieure de l'Audiovisuel et du Cinéma de Gammarth,http://www.esac.rnu.tn/,1245,23828,23652,5963,6683
Institut National de Formation des Agents de Sante,http://infas.ci/,1246,23828,23652,5963,6683
