Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
Capitol University,http://www.cu.edu.ph/,8059,18159,17546,5963,6683
Jaypee Business School Noida,http://www.jbs.ac.in/,8060,18159,17546,5963,6683
Kyoto College of Medical Science,https://www.kyoto-msc.jp/,8061,18159,17546,5963,6683
Sekolah Tinggi Keguruan dan Ilmu Pendidikan STKIP PGRI Bandar Lampung,http://www.stkippgribl.ac.id/,8062,18159,20719,5282,6683
Indian Institute of Tourism and Travel Management,https://iittm.ac.in/,8063,18159,17546,5963,6683
I2IT Centre of Excellence for Advanced Education and Research,https://isquareit.ac.in/,8064,18159,17546,5963,6683
Notre Dame of Marbel University,http://www.ndmu.edu.ph/,8065,18159,17546,5963,6683
Dakshin Bharath Hindi Prachar Sabha,https://www.dbhpscentral.org/,8066,18159,17546,5963,6683
Universti Automotif DRB-HICOM Malaysia,https://www.en.dhuautomotive.edu.my/,8067,18159,17546,5963,6683
Saraswati College of Engineering,https://engineering.saraswatikharghar.edu.in/,8068,18159,17546,5963,6683
(3) Fakultas Kedokteran UNISSULA,https://fkunissula.ac.id:443/,8069,18159,17546,5963,6683
Higashi Chikushi Junior College,https://www.hcc.ac.jp/,8070,18159,17546,5963,6683
Horizon Campus,https://horizoncampus.edu.lk/,8071,18159,17546,5963,6683
Saint Paul University Philippines,https://spup.edu.ph/,8072,18159,17546,5963,6683
PVG College of Engineering and Technology Pune,https://www.pvgcoet.ac.in/,8073,18159,19843,5520,6683
Sri Siddhartha Academy of Higher Education,https://www.sahe.in/,8074,18159,17546,5963,6683
University of Turbat,https://uot.edu.pk/,8075,18159,17546,5963,6683
University of Perpetual Help System Laguna,https://www.uphsl.edu.ph/,8076,18159,17546,5963,6683
Universitas Kristen Indonesia Toraja,https://ukitoraja.ac.id/,8077,18201,22360,4734,6683
Bukidnon State University,http://buksu.edu.ph/,8078,18202,19673,5574,6683
Bankura Sammilani Medical College,http://www.bsmedicalcollege.org.in/,8079,18203,21655,5963,6245
Career Point University Hamirpur,http://www.cpuh.in/,8080,18203,17597,5963,6683
Universitas Islam Batik Surakarta,https://uniba.ac.id/,8081,18203,17597,5963,6683
Islamic Azad University Tafresh,http://www.iautb.ac.ir/,8082,18203,17597,5963,6683
Institut Pesantren Mathali'ul Falah IPMAFA Pati,https://www.ipmafa.ac.id/,8083,18203,17597,5963,6683
Jammu University,http://www.jammuuniversity.ac.in/,8084,18203,17597,5963,6683
Kaichi International University,https://www.kaichi.ac.jp/,8085,18203,17597,5963,6683
Kazakh National University of Arts,https://kaznui.kz/,8086,18203,17597,5963,6683
"Tashkent Institute For Design, Construction and Operation of Roads",http://www.tayi.uz/,8087,18203,17597,5963,6683
Xinzhou Vocational and Technical College,https://www.xzvtc.org.cn/,8088,18203,17597,5963,6683
Politeknik Ibrahim Sultan,http://www.pis.edu.my/,8089,18203,17597,5963,6683
Pandian Saraswathi Yadav Engineering College,http://www.psyec.edu.in/,8090,18203,17597,5963,6683
Saitama Women's Junior College,https://www.saijo.ac.jp/,8091,18203,17597,5963,6683
Hakuho Women's College,http://www.hakuho.ac.jp/,8092,18203,17597,5963,6683
Symbiosis Center for Management Studies SCMS Pune,https://www.scmspune.ac.in/,8093,18233,17629,5963,6683
Khayyam Institute of Higher Education Mashhad,https://www.khayyam.ac.ir/,8094,18233,17629,5963,6683
Aichi Konan College,http://www.konan.ac.jp/,8095,18233,17629,5963,6683
