Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
University of Saint Andrews,https://www.st-andrews.ac.uk/,84,202,166,185,432
University of Sussex,https://www.sussex.ac.uk/,85,203,262,196,318
University of Leicester,https://le.ac.uk/,86,205,221,204,370
Aristotle University of Thessaloniki,https://www.auth.gr/,87,207,273,199,311
Johannes Gutenberg Universität Mainz,https://www.uni-mainz.de/,88,209,390,218,241
Imperial College London,https://www.imperial.ac.uk/,89,209,97,5963,16
Lancaster University,https://www.lancaster.ac.uk/,90,211,360,151,273
Universidad Autónoma de Madrid,http://www.uam.es/,91,213,465,168,220
Universität Würzburg,https://www.uni-wuerzburg.de/,92,217,371,241,259
Universität Duisburg Essen,https://www.uni-due.de/,93,218,308,335,291
Chalmers University of Technology,https://www.chalmers.se/,94,221,303,184,336
Sorbonne Université (ComUE Sorbonne Universites),https://www.sorbonne-universite.fr/,95,222,1599,498,21
University of Surrey,https://www.surrey.ac.uk/,96,223,235,198,401
Technion Israel Institute of Technology,http://www.technion.ac.il/,97,227,421,108,287
Aalborg University,https://www.aau.dk/,98,230,475,261,231
Université Grenoble Alpes (Communauté Université Grenoble Alpes),https://www.univ-grenoble-alpes.fr/,99,231,830,232,132
Universität Basel,https://www.unibas.ch/,100,232,425,166,279
Georg-August-Universität Göttingen,https://www.uni-goettingen.de/,101,233,304,437,308
Università degli Studi di Genova,https://unige.it/,102,235,482,192,250
Universitat Politècnica de Catalunya BarcelonaTech,https://www.upc.edu/,103,236,261,235,399
Universidad de Sevilla,https://www.us.es/,104,237,293,171,398
University of East Anglia,https://www.uea.ac.uk:443/,105,237,319,177,368
Queen's University Belfast,https://www.qub.ac.uk/,106,239,387,208,313
Université de Strasbourg,https://www.unistra.fr/,107,245,463,240,289
Weizmann Institute of Science,https://www.weizmann.ac.il/,108,246,401,95,369
University of Aberdeen,https://www.abdn.ac.uk/,109,246,337,175,390
Umea University,https://www.umu.se/,110,248,318,252,381
Universitat Pompeu Fabra,https://www.upf.edu/,111,257,277,217,446
Université de Lausanne,https://www.unil.ch/,112,260,439,146,351
Durham University,https://www.dur.ac.uk/,113,262,217,1712,295
Université Catholique de Louvain,https://uclouvain.be/,114,266,597,81,302
University of Reading,https://www.reading.ac.uk/,115,269,313,242,434
Universidad Politécnica de Madrid,https://www.upm.es/,116,270,275,321,444
University of Ljubljana,https://www.uni-lj.si/,117,271,400,379,343
Universidad Politécnica de Valencia,http://www.upv.es/,118,272,366,247,405
Friedrich Schiller Universität Jena,https://www.uni-jena.de/,119,273,551,246,290
Université de Paris (IPGP Descartes Diderot),https://u-paris.fr/,120,274,1308,1290,36
Université PSL Paris,https://www.psl.eu/,121,275,586,2331,93
University of Manchester,https://www.manchester.ac.uk/,122,277,103,5963,50
London School of Hygiene & Tropical Medicine,https://www.lshtm.ac.uk/,123,279,697,129,256
Universidade de Coimbra,https://www.uc.pt/,124,282,427,258,384
University of Southern Denmark,https://www.sdu.dk/,125,285,620,224,286
Universität Stuttgart,https://www.uni-stuttgart.de/,126,290,290,301,503
Universität des Saarlandes,https://www.uni-saarland.de/,127,292,230,550,513
Université d’Aix Marseille,https://www.univ-amu.fr/,128,295,1270,201,142
Christian Albrechts Universität zu Kiel,https://www.uni-kiel.de/,129,297,409,306,417
University of Southampton,https://www.southampton.ac.uk/,130,300,294,4380,111
Loughborough University,https://www.lboro.ac.uk/,131,301,361,182,499
Università degli Studi di Roma Tor Vergata,http://web.uniroma2.it/,132,302,723,194,282
Università degli Studi di Milano Bicocca,https://www.unimib.it/,133,303,673,181,315
University of Strathclyde,https://www.strath.ac.uk/,134,304,411,248,450
Technische Universität Darmstadt,https://www.tu-darmstadt.de/,135,306,399,278,452
King's College London,https://www.kcl.ac.uk/,136,307,145,5963,48
Università degli Studi di Trento,https://www.unitn.it/,137,309,558,245,376
University of Antwerp,https://www.uantwerpen.be/,138,311,877,203,251
Politecnico di Torino,https://www.polito.it/,139,313,547,289,392
University College Cork,https://www.ucc.ie/,140,314,435,229,477
Université Paris Saclay (comUE Université Paris Saclay),https://www.universite-paris-saclay.fr/,141,314,1053,1053,123
University of Dundee,https://www.dundee.ac.uk/,142,317,412,193,507
Universität Bremen,https://www.uni-bremen.de/,143,318,345,329,530
Maastricht University,https://www.maastrichtuniversity.nl/,144,319,834,70,337
Jagiellonian University,https://www.uj.edu.pl/,145,323,505,497,397
University of Warsaw,https://www.uw.edu.pl/,146,324,346,558,493
Universität Innsbruck,https://www.uibk.ac.at/,147,326,434,307,487
Université de Bordeaux,https://www.u-bordeaux.fr/,148,328,702,239,349
Universidad de Zaragoza,http://www.unizar.es/,149,329,500,189,470
University of Turku,https://www.utu.fi/,150,330,607,290,389
National Technical University of Athens,https://www.ntua.gr/,151,331,496,277,450
Ruhr Universität Bochum,https://www.ruhr-uni-bochum.de/,152,334,381,1637,329
Universität Ulm,https://www.uni-ulm.de/,153,336,626,366,378
University of Oulu,https://www.oulu.fi/,154,338,513,318,455
Università degli Studi di Pavia,https://web.unipv.it/,155,339,965,178,300
Ben Gurion University of the Negev,https://in.bgu.ac.il/,156,341,618,197,435
Universidade do Minho,https://www.uminho.pt/,157,342,589,298,430
Universität Hannover,https://www.uni-hannover.de/,158,347,405,350,568
École Polytechnique Fédérale de Lausanne,https://www.epfl.ch/,159,357,125,5963,118
Université de Lorraine,http://www.univ-lorraine.fr/,160,360,815,273,377
Justus Liebig Universität Giessen,https://www.uni-giessen.de/,161,363,713,406,403
Philipps Universität Marburg,https://www.uni-marburg.de/,162,370,590,410,471
Medizinische Universität Wien,https://www.meduniwien.ac.at/,163,373,1294,205,262
Eötvös Loránd University Budapest,https://www.elte.hu/,164,374,392,316,642
Masaryk University in Brno,https://www.muni.cz/,165,378,380,539,604
Saint Petersburg State University,https://spbu.ru:443/,166,379,353,527,626
Université de Liège,https://www.uliege.be/,167,381,675,468,438
University of Tartu,https://www.ut.ee/,168,384,553,299,559
Brunel University,https://www.brunel.ac.uk/,169,385,602,302,527
Université de Montpellier,https://www.umontpellier.fr/,170,387,1638,336,203
Jyväskylä University,https://www.jyu.fi/,171,388,523,311,588
Università degli Studi di Catania,https://www.unict.it/,172,390,1118,319,321
Université de Rennes I,https://www.univ-rennes1.fr/,173,396,929,345,395
Universität Potsdam,https://www.uni-potsdam.de/,174,397,569,430,552
Swansea University,https://www.swansea.ac.uk/,175,398,637,297,545
(1) Università Cattolica del Sacro Cuore,https://www.unicatt.it/,176,400,1126,220,360
Universidad de Málaga,https://www.uma.es/,177,401,465,270,658
University of Belgrade,http://www.bg.ac.rs/,178,403,983,467,352
Università degli Studi di Perugia,https://www.unipg.it/,179,407,1290,216,326
Swedish University of Agricultural Sciences,https://www.slu.se/,180,409,915,253,443
Czech Technical University in Prague,https://www.cvut.cz/,181,411,472,677,591
Universidad de Salamanca,https://www.usal.es/,182,411,473,255,684
Bristol University,https://www.bristol.ac.uk/,183,411,214,5963,105
University of Essex,https://www.essex.ac.uk/,184,414,422,283,728
Tampere University (TUT+UoT),https://www.tuni.fi/,185,415,906,391,420
Middle East Technical University,https://www.metu.edu.tr/,186,418,495,401,628
Heriot-Watt University,https://www.hw.ac.uk/,187,420,515,295,647
Universität Regensburg,https://www.uni-regensburg.de/,188,421,481,1315,500
Università degli Studi di Bari Aldo Moro,https://www.uniba.it/,189,421,1199,254,357
CentraleSupélec (comUE Université Paris Saclay),https://www.centralesupelec.fr/,190,421,2459,844,95
University of Tromso,https://uit.no/,191,428,587,399,583
Università della Calabria (Università degli Studi della Calabria),https://www.unical.it/,192,428,739,377,506
Martin Luther Universität Halle Wittenberg,https://www.uni-halle.de/,193,431,689,641,481
AGH University of Science & Technology,https://www.agh.edu.pl/,194,432,526,673,572
Universidad de Oviedo,https://www.uniovi.es/,195,435,820,287,511
Free University of Brussels,https://www.vub.be/,196,442,994,746,349
Technische Universität Graz,https://www.tugraz.at/,197,444,471,431,676
Universität Bielefeld,https://www.uni-bielefeld.de:443/,198,445,423,427,732
City University London,https://www.city.ac.uk/,199,446,424,325,769
Universidade de Santiago de Compostela,https://www.usc.es/,200,446,842,213,545
National University of Ireland NUI Galway,http://www.nuigalway.ie/,201,448,708,243,594
École Centrale de Lyon (comUE Université de Lyon),https://www.ec-lyon.fr/,202,453,95,959,1198
Universidade de Aveiro,https://www.ua.pt/,203,455,1014,219,473
Universidad de Murcia,https://www.um.es/,204,455,545,279,688
National Research University Higher School of Economics,https://www.hse.ru/,205,455,389,282,824
University of Plymouth,https://www.plymouth.ac.uk/,206,458,591,373,629
Universidad Carlos III de Madrid,https://www.uc3m.es/,207,460,497,380,699
Technische Universität Berlin,https://www.tu.berlin/,208,464,1467,206,365
Università degli Studi di Parma,https://www.unipr.it/,209,466,861,262,553
Università degli Studi di Palermo,https://www.unipa.it/,210,471,1146,291,433
Université de Nantes,https://www.univ-nantes.fr/,211,474,899,404,505
Universität Konstanz,https://www.uni-konstanz.de/,212,481,512,394,733
Bar Ilan University,http://www1.biu.ac.il/,213,486,844,227,602
University of Birmingham,https://www.birmingham.ac.uk/,214,488,306,5963,110
Heinrich Heine Universität Düsseldorf,http://www.hhu.de/,215,492,1341,714,334
Universidad de Castilla la Mancha,https://www.uclm.es/,216,495,684,357,659
École Normale Supérieure de Lyon (comUE Université de Lyon),http://www.ens-lyon.fr/,217,495,604,388,689
Northumbria University,https://www.northumbria.ac.uk/,218,495,686,439,637
Université Libre de Bruxelles,https://www.ulb.be/,219,498,774,2638,322
Università degli Studi di Cagliari,https://www.unica.it/,220,501,932,323,565
Universitat d'Alacant,https://www.ua.es/,221,501,450,327,866
University of Portsmouth,https://www.port.ac.uk/,222,503,593,485,694
Università degli Studi di Salerno,https://www.unisa.it/,223,505,1469,294,406
Université de Lille,https://www.univ-lille.fr/,224,507,1088,509,460
Universität Bern,https://www.unibe.ch/,225,511,260,5963,152
University of Exeter,https://www.exeter.ac.uk/,226,512,197,5963,201
Warsaw University of Technology,https://www.pw.edu.pl/,227,515,746,571,608
University of Eastern Finland,https://www.uef.fi/,228,516,1146,328,516
Technische Universität Dortmund,https://www.tu-dortmund.de/,229,517,851,661,567
University of Iceland,https://www.hi.is/,230,517,790,346,660
Université de Fribourg,https://www.unifr.ch/,231,521,736,441,671
Università degli Studi di Modena e Reggio Emilia,https://www.unimore.it/,232,526,1253,264,536
Università degli Studi di Trieste,https://www.units.it/,233,526,1172,428,513
Università degli Studi Roma Tre,https://www.uniroma3.it/,234,528,1012,413,575
Università degli Studi di Verona,https://www.univr.it/,235,534,1304,275,533
University of Patras (incl University of Western Greece),http://www.upatras.gr/,236,536,864,267,697
Karl Franzens Universität Graz,https://www.uni-graz.at/,237,537,653,477,775
Grenoble INP,https://www.grenoble-inp.fr/,238,539,1405,606,427
Leiden University,https://www.universiteitleiden.nl/,239,541,533,5963,87
University of Zagreb,http://www.unizg.hr/,240,542,791,1411,541
University of Stirling,https://www.stir.ac.uk/,241,542,632,393,809
Universität Rostock,https://www.uni-rostock.de/,242,544,898,512,620
Palacký University of Olomouc,http://www.upol.cz/,243,545,759,819,634
Universität Bayreuth,https://www.uni-bayreuth.de/,244,547,687,469,776
Istanbul Technical University,https://www.itu.edu.tr/,245,555,950,470,637
University of Limerick,https://www.ul.ie/,246,555,709,408,796
Hacettepe University,https://www.hacettepe.edu.tr/,247,557,972,381,654
Adam Mickiewicz University Poznan,https://amu.edu.pl/,248,560,615,580,805
National Nuclear Research University (Moscow State Engineering Physics Institute),https://mephi.ru/,249,561,685,1976,556
Novosibirsk State University,https://www.nsu.ru/,250,561,975,1378,491
Cranfield University,https://www.cranfield.ac.uk/,251,564,810,508,715
Università di Pisa (Università degli Studi di Pisa),https://www.unipi.it/,252,566,327,5963,179
Aston University,https://www.aston.ac.uk/,253,566,802,411,759
Boğaziçi University,http://www.boun.edu.tr/,254,568,884,602,649
Universidad Complutense de Madrid,https://www.ucm.es/,255,572,193,5963,283
Université du Luxembourg,https://wwwfr.uni.lu/,256,572,895,484,680
Johannes Kepler Universität Linz,https://www.jku.at/,257,577,712,416,817
Universitat Rovira i Virgili,https://www.urv.cat/,258,582,1039,351,661
University of Ioannina,https://www.uoi.gr/,259,584,989,362,674
Budapest University of Technology and Economics,http://www.bme.hu/,260,587,576,549,904
