Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
Atenisi Institute,https://www.atenisi.edu.to/,260,24587,24459,5963,6683
Kingsley College,https://kingsley.edu.au/,261,25422,25317,5963,6683
St Clements University Niue,http://www.stclements.edu.nu/,262,25533,25431,5963,6683
Kauri Academy,https://kauriacademy.ac.nz/,263,25533,25431,5963,6683
Manu Ao Academy,http://www.manu-ao.ac.nz/,264,26736,26674,5963,6683
Australasian College of Health and Wellness,https://www.achw.edu.au/,265,26736,26794,5963,6683
Stellaris,http://www.stellaris.co.nz/,266,26853,26795,5963,6683
Kiribati Institute of Technology,https://kit.edu.ki/,267,28021,27974,5963,6683
Leaders Institute Brisbane,https://leaders.edu.au/,268,28856,28825,5963,6683
Vanuatu Institute of Teacher Education,http://www.ifev.edu.vu/,269,28970,28942,5963,6683
Kollel Beth HaTalmud Yehuda Fishman Institute,https://www.kollel.edu.au/,270,28970,28942,5963,6683
Kiribati Teachers College,http://ktc.edu.ki/,271,28970,28942,5963,6683
Unified Academy of Innovation,http://www.uai.ac.nz/,272,30229,30217,5963,6683
