Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
Universidad Tecnológica de Jalisco,http://www.utj.edu.mx/,3509,15348,14283,5963,6683
Cégep de La Pocatière,https://www.cegeplapocatiere.qc.ca/,3510,15364,14306,5963,6683
Fox College,https://www.foxcollege.edu/,3511,15364,14306,5963,6683
Southeastern Baptist College,https://southeasternbaptist.edu/,3512,15377,14322,5963,6683
Danville Community College,https://danville.edu/,3513,15377,14322,5963,6683
Evergreen College,https://www.evergreencollege.com/,3514,15377,14322,5963,6683
Universidad Autónoma de Occidente UADEO,https://uadeo.mx/,3515,15405,14352,5963,6683
Instituto Tecnológico Superior de Cajeme,http://www.itesca.edu.mx/,3516,15416,18385,5963,6245
East San Gabriel Valley Regional Occupational Program & Technical Center,http://www.esgvrop.org/,3517,15416,14366,5963,6683
Saint Stephen's University,https://ssu.ca/,3518,15433,14388,5963,6683
Barber Scotia College,https://b-sc.edu/,3519,15433,14388,5963,6683
Cégep de Granby,https://cegepgranby.ca/,3520,15433,14388,5963,6683
Reid State Technical College,http://www.rstc.edu/,3521,15433,14388,5963,6683
Saint Patrick's Seminary & University,https://www.stpsu.edu/,3522,15459,14412,5963,6683
Huntington Junior College,http://www.huntingtonjuniorcollege.edu/,3523,15459,14412,5963,6683
Centro de Estudios Superiores de Diseño de Monterrey,https://cedim.edu.mx/,3524,15459,14412,5963,6683
Houston Graduate School of Theology,https://www.hgst.edu/,3525,15493,14458,5963,6683
Advantage Career Institute,https://aci.edu/,3526,15493,14458,5963,6683
Academy of Applied Pharmaceutical Sciences,https://www.aaps.ca/,3527,15518,14491,5963,6683
York County School of Technology,http://ytech.edu/,3528,15518,14491,5963,6683
Crown College of the Bible,https://thecrowncollege.edu/,3529,15518,14491,5963,6683
Tohono O'Odham Community College,https://tocc.edu/,3530,15518,14491,5963,6683
VanWest College,https://www.vanwest.com/,3531,15518,14491,5963,6683
Cornerstone International Community College,https://ciccc.ca/,3532,15543,14522,5963,6683
Instituto Tecnológico de Veracruz,http://www.itver.edu.mx/,3533,15559,14547,5963,6683
College of Court Reporting,http://www.ccr.edu/,3534,15559,14547,5963,6683
Westminster College,https://www.wcslc.edu/,3535,15559,14547,5963,6683
Bethesda University,https://www.buc.edu/,3536,15598,14595,5963,6683
Universidad IEU,https://ieu.edu.mx/,3537,15619,14613,5963,6683
Collège Stanislas,http://www.stanislas.qc.ca/,3538,15619,14613,5963,6683
Universidad Autónoma de la Laguna,https://www.ual.mx/,3539,15619,14613,5963,6683
Cégep de Granby Haute Yamaska,https://cegepgranby.ca/,3540,15635,14633,5963,6683
Campus Notre Dame de Foy,https://www.cndf.qc.ca/,3541,15635,14633,5963,6683
Knox Theological Seminary,https://www.knoxseminary.edu/,3542,15635,14633,5963,6683
